Семантические категории 1-ого уровня;Семантические категории 2-ого уровня;Семантические категории 3-его уровня;Оценочное слово или словосочетание;Полярность;;;;;;;
объект оценки (кофемашина);цена;цена;супер стоимость;+;;;;;;;
объект оценки (кофемашина);цена;цена;супер цена;+;;;;;;;
объект оценки (кофемашина);цена;цена;удачная цена;+;;;;;;;
объект оценки (кофемашина);цена;цена;хорошая цена;+;;;;;;;
объект оценки (кофемашина);цена;цена;цена более чем доступная;+;;;;;;;
объект оценки (кофемашина);цена;цена;цена как в европе;+;;;;;;;
объект оценки (кофемашина);цена;цена;цена самое то;+;;;;;;;
объект оценки (кофемашина);цена;цена;чудесная стоимость;+;;;;;;;
объект оценки (кофемашина);цена;цена;чудесная цена;+;;;;;;;
объект оценки (кофемашина);цена;цена;шикарная стоимость;+;;;;;;;
объект оценки (кофемашина);цена;цена;шикарная цена;+;;;;;;;
объект оценки (кофемашина);цена;цена;экономичная;+;;;;;;;
объект оценки (кофемашина);цена;цена;экономичный вариант;+;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дорогие запчасти;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дорогие капсулы;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дорогие расходные;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дорогие средства для очистки;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дороговаты расходные;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дорогое обслуживание;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;дорогое удовольствие расходные;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;жидкость для кальцинации дороже очень хорошего коньяка;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;заламывают цены на расходные материалы;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;ломят цены на расходные материалы;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;накладно расходные материалы;-;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;недорогие расходники;+;;;;;;;
объект оценки (кофемашина);цена;цена на расходные материалы;расходные дороже чем в Европе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;взбивается быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;взбивается легко;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;взбивание получается не в 100% случаев;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;вспенивается быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;вспенивается легко;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;замечательно вспенивает ;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;использование капучинатора требует некоторых навыков;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;отлично взбивает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;отлично вспенивает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;плохо взбивает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;плохо вспенивает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;практически не взбить;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;прекрасно взбивает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;прекрасно вспенивает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;разбрызгивает молоко при взбивании;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;сложно взбивать;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;так себе взбивает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;так себе вспенивает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;хорошо взбивает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;хорошо вспенивает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;шиш взбивает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;взбивание;шиш вспенивает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;воняет;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;запах и привкус пластмассы;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;запах пластика;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;запах пластмассы;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;запаха нет;+;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;запаха пластмассы в напитке нет;+;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;кофе пахнет кипяченым молоком;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;нет никакого запаха пластика;+;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;пахучая емкость для воды;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;пластик совсем не пахнет;+;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;пластмассовая вонь;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;посторонние запахи;-;;;;;;;
объект оценки (кофемашина);эксплуатация;запах;сильная вонь;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;безобразная графика инструкции;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;в инструкции пропущены буквы;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;внятная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;грамотная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;грамотное руководство;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;доступная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция в виде красивых картинок;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;"инструкция в стиле ""минимализм""";-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция для солдат;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция идеально проста;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция мелко напечатана;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция на китайския pysskom;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция ни о чем;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;инструкция составлена идиотами;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;корявая инструкция;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;корявое руководство;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;мудреная инструкция;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;мудреное руководство;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;написано косно;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;нелогичность изложения;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;неполноценность изложения;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;непонятная инструкция;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;непонятное руководство;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;отличная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;отличное руководство;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;плохая инструкция;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;плохой текст;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;плохой текст инструкции который читается с трудом;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;подробная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;подробное руководство;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;подробные инструкции;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;понятная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;понятная иструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;понятное руководство;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;понятный перевод инструкции;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;противоречивая инструкция;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;противоречивое руководство;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство в виде красивых картинок;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;"руководство в стиле ""минимализм""";-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство для солдат;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство идеально простое;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство мелко напечатано;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство на китайския pysskom;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство ни о чем;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;руководство составлено идиотами;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;слабенькая инструкция;-;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;толковая инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;хорошая инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;хорошее руководство;+;;;;;;;
объект оценки (кофемашина);эксплуатация;инструкция;ясная инструкция;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстрая готовность к работе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстрая подготовка к работе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстро готова к работе после включения;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстро нагревается;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстро прогревается;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстро просыпается;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстро разогревается;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстрое закипание;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстрый нагрев;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;быстрый старт;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;греется довольно быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;греется тоже очень быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;долгий прогрев;-;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;долго прогревается;-;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;мало времени на подготовку к работе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;медленно нагревается;-;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;можно варить примерно через 30 секунд после включения;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;можно готовить примерно через 30 секунд после включения;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;моментально готова варить кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;моментально готова готовить кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;подготовка к работе;нагревается  быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;без брызг;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;без особых усилий;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;без проблем;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;без хлопот;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;безупречно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;безупречно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;больше выжимает из зерен, чем мои старые машины;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстро варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстро готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстро делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстрое;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстрое приготовление;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстрота и качество приготовления кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;быстрота приготовления;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;варит быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;варит вкусно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;варит изумительно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;варит исправно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;варит легко;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;варит хорошо;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;великолепно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;великолепно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;великолепно делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;вероятность перелива;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;вибрирует;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;вкусно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;вкусно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;вкусно готовить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;вкусно делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;всё быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;выжимает максимум аромата из любого кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;головная боль;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит быстро;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит вкусно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит изумительно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит исправно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит мелкие порции;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит на 5 с плюсом;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовит хорошо;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовится легко;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;готовить одно удовольствие;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;делать очень легко;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;долгий процесс приготовления;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;долго варит;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;долго готовит;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;достойно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;достойно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;замечательно;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;идеально варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;идеально готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;ингода застревает кофе в ситечке и плохо льется кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;исправно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;исправно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;капризна к сортам кофе, точнее его помолу;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;качественно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;качественно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;кипяток подает в 10 раз быстрее чайника;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;классно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;классно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;кофе выливается через резьбу фильтродержателя;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;кофе не дождешься;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;кофе подгорает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;круто делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;легко варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;легко варить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;легко готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;легко готовить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;лидер по вкусу готового кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;льется через край;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;маленькое время разогрева;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;минимум телодвижений при готовке;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;много возни;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;можно использовать зерновой и молотый кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;можно использовать как молотый, как и зерновой кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;можно обжечься;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;можно применять кофе различных видов - и молотый, и зерновой, и даже в капсулах;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;можно регулировать степень помола;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;молоко отлично идет;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;мороки с ним много;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;надежно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;надежно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;нажатием всего одной кнопочки;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;нажатием одной кнопки;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;не вызывает трудностей;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;невозможность выставить крепость кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;неплохо варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;неплохо готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;неплохо делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;неповторимое качество;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;неравномерно наливаются 2 чашки;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;нет возможности заваривать с растворимым кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;нет возможности засыпать молотый кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;нет возможности регулировки степени крепости кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;нет возможности регулировки температуры;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;обрызгало;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;одним нажатием кнопки;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;одной кнопкой;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;отлично варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;отлично готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;отлично делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;отлично заваривает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;переливает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;плеваться паром;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;по нажатию одной лишь кнопки;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;посредственно варит;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;посредственно готовит;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;потеря кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;превосходно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;превосходно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;превосходно делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;прекрасно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;прекрасно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;прекрасно делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;приготовление рулетка;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;прилично варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;прилично готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;приличное количество свежесмолотого кофе регулярно каким-то образом просыпается мимо дозатора;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;приходится больше напрягаться, когда готовишь кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;пришлось попотеть;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;просачивание кофе через резьбу;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;просто готовить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;простое приготовление;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;простота приготовления;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;процедура приготовления кофе самая простая;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;разбрызгивается;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;разлив слишком маленькими порциями;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;сложно готовить;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;спокойно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;спокойно варить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;спокойно готовить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;танцы с бубном;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;удобно ;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;удобно варить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;удобно готовить;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;ужасно делает;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;умеет работать;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;фырчать;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;хорошо варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;хорошо готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;чашки в пляс идут;-;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;чудесно делает;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;шикарно варит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;приготовление кофе;шикарно готовит;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;большой расход;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;большой расход воды;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;большой расход кофе;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;быстро расходует воду;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;воды много расходует;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;используется большое количество воды;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;нормально расходует;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;нормальный расход;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;постоянно заканчивается вода;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;прожорлив до электричества;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;расход выше;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;расход выше по сравнению  с рожковой кофе машиной;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;расход кофе выше;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;расходует меньше;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;режим экономии электричества;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;тратит неимоверное количество воды;-;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;экономит кофе;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;экономно расходует;+;;;;;;;
объект оценки (кофемашина);эксплуатация;расход;энергопотребляющая;-;;;;;;;
